
PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS AT CARD $PREND99999
READING FORMAT: (6X,I5,5X,A5,3X,E12.5,4X,F6.2)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
UNDEFINED MASSES OF W+, W- AND Z0 ARE SET EQUAL TO THEIR WEINBERG-SALAM
VALUES DIVIDED BY SQRT(0.9304) (MARCIANO AND SIRLIN).

      IDENT     LABEL           MASS    CHARGE

$PRBEG
   250,  3,   .24000,   -14,    13,   241,     0,     0/
   250,  3,   .25500,   -16,    15,   240,     0,     0/
   250,  3,   .27000,   -16,    15,   241,     0,     0/
   250,  3,   .28050,   240,   120,     0,     0,     0/
   250,  3,   .29100,   240,   121,     0,     0,     0/
   250,  3,   .30150,   241,   120,     0,     0,     0/
   250,  3,   .31200,   241,   121,     0,     0,     0/
   250,  3,   .32650,   240,  -340,     0,     0,     0/
   250,  3,   .34100,   240,  -341,     0,     0,     0/
   250,  3,   .35550,   241,  -340,     0,     0,     0/
   250,  3,   .37000,   241,  -341,     0,     0,     0/
   250,  3,   .39800,   240,   120,   110,     0,     0/
   250,  3,   .42600,   240,   120,   220,     0,     0/
   250,  3,   .45400,   240,   120,   111,     0,     0/
   250,  3,   .48200,   240,   120,   221,     0,     0/
   250,  3,   .51000,   240,   121,   110,     0,     0/
   250,  3,   .53800,   240,   121,   220,     0,     0/
   250,  3,   .56600,   240,   121,   111,     0,     0/
   250,  3,   .59400,   240,   121,   221,     0,     0/
   250,  3,   .62200,   241,   120,   110,     0,     0/
   250,  3,   .65000,   241,   120,   220,     0,     0/
   250,  3,   .67800,   241,   120,   111,     0,     0/
   250,  3,   .70600,   241,   120,   221,     0,     0/
   250,  3,   .73400,   241,   121,   110,     0,     0/
   250,  3,   .76200,   241,   121,   220,     0,     0/
   250,  3,   .79000,   241,   121,   111,     0,     0/
   250,  3,   .81800,   241,   121,   221,     0,     0/
   250,  3,   .83200,   240,   130,  -230,     0,     0/
   250,  3,   .84600,   240,   130,  -231,     0,     0/
   250,  3,   .86000,   240,   131,  -230,     0,     0/
   250,  3,   .87400,   240,   131,  -231,     0,     0/
   250,  3,   .88800,   241,   130,  -230,     0,     0/
